Username,Name,Excellent Matches,Favorite Course,Good Matches,Okay Matches,Poor Matches,Unqualified Matches
student_0@princeton.edu,Student #0,432;318;217,217,226;324;302;429,333,,217;226;324;302;429;333;126;516;561;326;461;521;526;375;109;340;487;551;451;513;529
student_1@princeton.edu,Student #1,521;375,521,,429,461;326,126;324;340;516;551;302;217;318;561;333;432;487;526;226;451;513;529;109
student_2@princeton.edu,Student #2,226;340,340,375;126;324,,126;324;432,326;333;302;109;521;451;487;461;318;429;217;516;561;526;551;529;513
student_3@princeton.edu,Student #3,432;429;126;302,429,226,375;561,,302;226;375;561;318;333;326;461;340;529;451;217;324;551;521;516;487;109;513;526
student_4@princeton.edu,Student #4,126;375,126,451;326;226,,126;375;451,326;226;487;217;318;333;324;109;561;513;432;429;340;302;461;521;529;551;526;516
student_5@princeton.edu,Student #5,333;513,333,432;126,,333;513;432;126,302;429;461;521;340;516;217;324;226;318;375;526;326;487;109;561;529;451;551
student_6@princeton.edu,Student #6,324;126,126,,429;526;487,,126;429;526;487;513;333;217;516;432;521;226;326;318;375;340;461;561;529;302;109;551;451
student_7@princeton.edu,Student #7,375;324;318;302,324,326,,324;318;302;326;432;217;461,516;340;126;226;526;429;487;333;561;521;109;451;513;551;529
student_8@princeton.edu,Student #8,432;226;551;126,126,529;217,,,551;126;529;217;326;324;375;487;333;340;429;302;461;561;451;318;516;521;109;513;526
student_9@princeton.edu,Student #9,340;375;302;226,302,,226;126,,461;326;451;561;318;487;551;432;333;516;324;429;217;513;521;109;526;529
student_10@princeton.edu,Student #10,516;333;302,333,324;461;217;487,,217;487,126;429;521;226;529;326;432;340;451;375;318;526;513;561;109;551
student_11@princeton.edu,Student #11,375;340;318,340,324,,,126;526;461;326;217;487;451;226;513;302;333;529;521;429;432;516;109;551;561
student_12@princeton.edu,Student #12,521;561;226,561,,516;551,,226;516;551;126;487;318;324;432;340;375;429;529;526;326;217;461;513;302;451;109;333
student_13@princeton.edu,Student #13,326;521;429,326,526;217;432,,,217;432;109;333;529;226;324;340;126;302;318;461;561;487;375;513;516;551;451
student_14@princeton.edu,Student #14,375;126;340,375,429;109;217,461,,326;561;487;324;432;516;318;529;226;333;521;513;302;451;526;551
