Username,Name,Excellent Matches,Favorite Course,Good Matches,Okay Matches,Poor Matches,Unqualified Matches
student_0@princeton.edu,Student #0,326;521,521,432,429;302;126;318;324,,126;318;324;333;340;217;461;516;529;375;487;526;226;109;561;513;451;551
student_1@princeton.edu,Student #1,432;324,324,487;461;226;326;513;529,,,324;487;461;226;326;513;529;126;217;109;340;429;333;318;451;526;561;302;521;516;375;551
student_2@princeton.edu,Student #2,461;432;451;126,432,302;326;217,,126;302,326;217;429;375;340;487;526;109;324;333;561;226;513;516;521;551;318;529
student_3@princeton.edu,Student #3,109;432;340;318,109,326;521,,109;432;340;318;326;521;487;451,126;461;302;333;324;429;513;375;526;529;551;226;217;516;561
student_4@princeton.edu,Student #4,432;429;126,429,226;521,375;340;516,,375;340;516;318;333;302;324;217;461;561;551;487;326;451;529;526;513;109
student_5@princeton.edu,Student #5,326;333;516;217,217,,551;375;126;324,,340;429;318;302;432;487;529;461;521;109;513;226;451;561;526
student_6@princeton.edu,Student #6,516;126;226;217,217,333;521;340,429,,226;217;333;521;340;429;551;302;318;109;324;432;461;375;326;487;526;451;513;561;529
student_7@princeton.edu,Student #7,333;375;126,333,429;302,,,375;126;429;302;324;461;487;318;526;516;326;451;340;217;432;561;521;226;529;109;551;513
student_8@princeton.edu,Student #8,432;324;217;429,217,326;126;302;487,,324;217,429;326;126;302;487;461;521;451;318;375;340;529;333;226;551;516;561;526;109;513
student_9@princeton.edu,Student #9,375;217;226;324,375,,226;324,,324;432;526;302;340;318;126;516;521;429;109;551;326;461;513;487;451;333;561;529
student_10@princeton.edu,Student #10,326;126;340,126,,340;226;324;461;318;333,,326;126;340;226;324;461;318;333;429;487;217;526;432;375;302;551;451;529;521;513;516;561;109
student_11@princeton.edu,Student #11,521;461,461,529;217;318;429;340,,,340;326;126;324;432;375;302;333;451;226;516;487;561;526;551;513;109
student_12@princeton.edu,Student #12,217;461,461,126;302;487,,,126;302;487;432;333;226;513;326;521;429;324;375;318;516;340;561;109;526;529;451;551
